date,sales
2018-12-17,34466.97000000002
2018-12-18,23994.580000000005
2018-12-19,28812.36
2018-12-20,11112.130000000001
2018-12-21,6557.700000000001
2018-12-22,2845.6300000000006
2018-12-23,2973.07
2018-12-24,4345.169999999999
2018-12-25,1007.1800000000001
2018-12-26,12491.539999999997
2018-12-27,11873.289999999992
2018-12-28,11210.069999999998
2018-12-29,6802.410000000001
2018-12-30,6593.1500000000015
2018-12-31,8268.579999999998
2019-01-01,7892.220000000001
2019-01-02,16173.129999999996
2019-01-03,16406.979999999996
2019-01-04,11413.929999999995
2019-01-05,5291.929999999999
2019-01-06,5726.819999999999
2019-01-07,20846.649999999987
2019-01-08,17000.07
2019-01-09,17291.670000000002
2019-01-10,19061.879999999997
2019-01-11,12910.300000000007
2019-01-12,6106.859999999996
2019-01-13,5590.069999999998
2019-01-14,27691.969999999998
2019-01-15,18434.390000000007
2019-01-16,25049.440000000002
2019-01-17,23756.44
2019-01-18,12417.640000000003
2019-01-19,6227.14
2019-01-20,5691.199999999997
2019-01-21,17572.42
2019-01-22,21379.389999999992
2019-01-23,19773.699999999993
2019-01-24,19205.320000000007
2019-01-25,15328.37
2019-01-26,7300.009999999998
2019-01-27,5724.749999999998
2019-01-28,25160.750000000025
2019-01-29,19932.000000000036
2019-01-30,23193.019999999982
2019-01-31,20856.729999999985
2019-02-01,16875.270000000004
2019-02-02,8444.500000000002
2019-02-03,7024.999999999998
2019-02-04,21053.620000000006
2019-02-05,34155.420000000006
2019-02-06,35404.12000000001
2019-02-07,26269.130000000026
2019-02-08,14844.169999999996
2019-02-09,10717.199999999995
2019-02-10,8209.749999999998
2019-02-11,52191.830000000096
2019-02-12,29003.770000000033
2019-02-13,23548.75000000001
2019-02-14,26178.12000000003
2019-02-15,19821.199999999993
2019-02-16,7048.739999999998
2019-02-17,10634.19
2019-02-18,20979.839999999986
2019-02-19,24182.81999999999
2019-02-20,26397.890000000014
2019-02-21,21555.75999999998
2019-02-22,23036.67999999999
2019-02-23,13995.179999999997
2019-02-24,8071.739999999999
2019-02-25,38207.79
2019-02-26,26684.190000000002
2019-02-27,24602.340000000007
2019-02-28,22705.86
2019-03-01,22720.16000000002
2019-03-02,9500.809999999992
2019-03-03,9550.919999999996
2019-03-04,36948.52000000004
2019-03-05,28050.320000000007
2019-03-06,30329.919999999995
2019-03-07,27045.489999999998
2019-03-08,16941.909999999993
2019-03-09,7519.439999999999
2019-03-10,10898.72
2019-03-11,31892.989999999994
2019-03-12,31112.26
2019-03-13,27929.98999999999
2019-03-14,20888.08999999998
2019-03-15,16963.33999999999
2019-03-16,9005.63
2019-03-17,8281.849999999999
2019-03-18,33839.01000000003
2019-03-19,29214.310000000034
2019-03-20,25695.479999999974
2019-03-21,19083.259999999984
2019-03-22,19364.240000000005
2019-03-23,7767.269999999999
2019-03-24,10736.13999999999
2019-03-25,24991.659999999993
2019-03-26,23086.649999999998
2019-03-27,19101.54
2019-03-28,16004.819999999996
2019-03-29,15992.259999999986
2019-03-30,6577.459999999996
2019-03-31,8441.59
2019-04-01,22880.019999999964
2019-04-02,19365.90000000001
2019-04-03,18824.679999999997
2019-04-04,18812.270000000004
2019-04-05,15334.429999999991
2019-04-06,7870.649999999995
2019-04-07,7874.030000000001
2019-04-08,27007.139999999996
2019-04-09,17705.110000000015
2019-04-10,16599.350000000002
2019-04-11,15242.309999999994
2019-04-12,13529.839999999998
2019-04-13,6666.190000000002
2019-04-14,7143.610000000001
2019-04-15,20093.34000000001
2019-04-16,20684.579999999998
2019-04-17,21746.759999999977
2019-04-18,14930.860000000011
2019-04-19,12930.25000000001
2019-04-20,8838.709999999995
2019-04-21,4512.990000000001
2019-04-22,23520.659999999993
2019-04-23,19033.310000000005
2019-04-24,18486.85
2019-04-25,18489.000000000007
2019-04-26,13873.09
2019-04-27,7902.3099999999995
2019-04-28,10924.179999999997
2019-04-29,23234.86999999999
2019-04-30,19693.39000000002
2019-05-01,25265.53000000002
2019-05-02,22091.54000000002
2019-05-03,22920.729999999996
2019-05-04,10577.020000000002
2019-05-05,10029.929999999995
2019-05-06,33812.93000000004
2019-05-07,32910.00000000001
2019-05-08,24216.619999999984
2019-05-09,18815.120000000014
2019-05-10,15318.629999999996
2019-05-11,9740.34
2019-05-12,4618.69
2019-05-13,35044.80000000001
2019-05-14,24753.469999999994
2019-05-15,25040.309999999976
2019-05-16,20153.059999999994
2019-05-17,17077.12
2019-05-18,7164.020000000001
2019-05-19,10168.150000000005
2019-05-20,41003.360000000015
2019-05-21,28577.859999999975
2019-05-22,21225.72
2019-05-23,17255.499999999996
2019-05-24,13737.379999999997
2019-05-25,5526.38
2019-05-26,6744.079999999998
2019-05-27,6460.64
2019-05-28,28800.920000000016
2019-05-29,23931.030000000013
2019-05-30,22722.869999999988
2019-05-31,13612.11999999998
2019-06-01,5122.610000000002
2019-06-02,10111.749999999993
2019-06-03,30478.600000000024
2019-06-04,22533.469999999994
2019-06-05,50509.280000000006
2019-06-06,30321.41000000003
2019-06-07,9782.859999999997
2019-06-08,4609.339999999998
2019-06-09,7622.45
2019-06-10,23236.820000000014
2019-06-11,21310.800000000007
2019-06-12,17107.969999999994
2019-06-13,17617.60999999999
2019-06-14,13115.959999999995
2019-06-15,6119.23
2019-06-16,6550.899999999999
2019-06-17,27786.089999999997
2019-06-18,19936.36999999999
2019-06-19,16186.589999999997
2019-06-20,15908.179999999991
2019-06-21,10635.51
2019-06-22,8801.539999999997
2019-06-23,7038.129999999998
2019-06-24,23280.319999999996
2019-06-25,21901.269999999997
2019-06-26,21303.56
2019-06-27,16204.709999999995
2019-06-28,10102.26999999999
2019-06-29,6602.9699999999975
2019-06-30,5109.950000000001
2019-07-01,22023.779999999995
2019-07-02,15137.659999999985
2019-07-03,15445.47999999999
2019-07-04,5129.659999999999
2019-07-05,9366.67
2019-07-06,6238.279999999999
2019-07-07,5265.699999999996
2019-07-08,19729.989999999983
2019-07-09,22316.989999999998
2019-07-10,17003.319999999992
2019-07-11,17058.68999999999
2019-07-12,10755.62
2019-07-13,5794.850000000002
2019-07-14,6451.149999999998
2019-07-15,25872.53999999998
